Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
7/9/2025,1,$750.00,$750.00,$750.00,$0.00,$0.00,$0.00,$0.00,100.00%,$750.00,$750.00,$0.00,$750.00,$0.00,16.00,$0.00,$750.00,$0.00,9.09%,
7/21/2025,2,$2250.00,$1500.00,$1500.00,$0.00,$0.00,$0.00,$0.00,100.00%,$750.00,$750.00,$0.00,$750.00,$0.00,5.00,$52.50,$750.00,$0.00,18.18%,
7/22/2025,2,$2850.00,$600.00,$750.00,($150.00),$0.00,($150.00),($150.00),50.00%,$300.00,$750.00,($150.00),$750.00,($150.00),0.00,$77.50,$375.00,$75.00,18.18%,
7/31/2025,1,$2700.00,($150.00),$0.00,($150.00),$0.00,($150.00),($150.00),0.00%,($150.00),$0.00,($150.00),$0.00,($150.00),0.00,$150.00,$0.00,$150.00,9.09%,
8/12/2025,1,$2550.00,($150.00),$0.00,($150.00),$0.00,($300.00),($150.00),0.00%,($150.00),$0.00,($150.00),$0.00,($150.00),0.00,$150.00,$0.00,$150.00,9.09%,
8/14/2025,1,$3300.00,$750.00,$750.00,$0.00,$0.00,$0.00,$0.00,100.00%,$750.00,$750.00,$0.00,$750.00,$0.00,2.00,$80.00,$750.00,$0.00,9.09%,
8/20/2025,1,$3150.00,($150.00),$0.00,($150.00),$0.00,($150.00),($150.00),0.00%,($150.00),$0.00,($150.00),$0.00,($150.00),0.00,$150.00,$0.00,$150.00,9.09%,
8/28/2025,1,$3000.00,($150.00),$0.00,($150.00),$0.00,($300.00),($150.00),0.00%,($150.00),$0.00,($150.00),$0.00,($150.00),1.00,$150.00,$60.00,$210.00,9.09%,
9/17/2025,1,$3750.00,$750.00,$750.00,$0.00,$0.00,$0.00,$0.00,100.00%,$750.00,$750.00,$0.00,$750.00,$0.00,48.00,$100.00,$750.00,$0.00,9.09%,
