Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,MAE,MFE,ETD,Bars,
1,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,22209.75,22176.00,6/12/2025 4:03:00 AM,6/12/2025 4:05:00 AM,LTF_ShortTenkan,Profit target,$675.00,$675.00,$0.00,$70.00,$675.00,$0.00,3,
2,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,22198.00,22205.50,6/12/2025 4:18:00 AM,6/12/2025 4:18:00 AM,LTF_ShortTenkan,Stop loss,($150.00),$525.00,$0.00,$150.00,$0.00,$150.00,1,
3,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,22111.00,22077.25,6/19/2025 1:44:00 AM,6/19/2025 2:32:00 AM,LTF_ShortTenkan,Profit target,$675.00,$1200.00,$0.00,$70.00,$675.00,$0.00,49,
4,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,22008.50,21974.75,6/19/2025 9:32:00 AM,6/19/2025 9:39:00 AM,LTF_ShortTenkan,Profit target,$675.00,$1875.00,$0.00,$145.00,$675.00,$0.00,8,
5,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Long,1,23100.00,23133.75,7/3/2025 1:58:00 AM,7/3/2025 3:40:00 AM,LTF_LongTenkan,Profit target,$675.00,$2550.00,$0.00,$15.00,$675.00,$0.00,103,
6,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23604.75,23612.25,7/31/2025 2:08:00 PM,7/31/2025 2:09:00 PM,LTF_ShortTenkan,Stop loss,($150.00),$2400.00,$0.00,$150.00,$190.00,$340.00,2,
7,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23110.00,23117.50,8/1/2025 1:13:00 PM,8/1/2025 1:13:00 PM,LTF_ShortTenkan,Stop loss,($150.00),$2250.00,$0.00,$150.00,$0.00,$150.00,1,
8,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23100.25,23107.75,8/1/2025 1:15:00 PM,8/1/2025 1:15:00 PM,LTF_ShortTenkan,Stop loss,($150.00),$2100.00,$0.00,$150.00,$0.00,$150.00,1,
9,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,24008.25,23974.50,8/18/2025 11:34:00 PM,8/19/2025 1:23:00 AM,LTF_ShortTenkan,Profit target,$675.00,$2775.00,$0.00,$50.00,$675.00,$0.00,110,
10,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23920.50,23886.75,8/19/2025 9:46:00 AM,8/19/2025 9:48:00 AM,LTF_ShortTenkan,Profit target,$675.00,$3450.00,$0.00,$40.00,$675.00,$0.00,3,
11,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23774.50,23782.00,8/19/2025 11:14:00 AM,8/19/2025 11:14:00 AM,LTF_ShortTenkan,Stop loss,($150.00),$3300.00,$0.00,$150.00,$0.00,$150.00,1,
12,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23720.50,23686.75,8/19/2025 2:14:00 PM,8/19/2025 2:44:00 PM,LTF_ShortTenkan,Profit target,$675.00,$3975.00,$0.00,$80.00,$675.00,$0.00,31,
13,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23665.75,23632.00,8/19/2025 7:33:00 PM,8/19/2025 9:12:00 PM,LTF_ShortTenkan,Profit target,$675.00,$4650.00,$0.00,$110.00,$675.00,$0.00,100,
14,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23630.25,23637.75,8/20/2025 7:49:00 AM,8/20/2025 7:51:00 AM,LTF_ShortTenkan,Stop loss,($150.00),$4500.00,$0.00,$150.00,$140.00,$290.00,3,
15,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23408.50,23416.00,8/20/2025 10:06:00 AM,8/20/2025 10:06:00 AM,LTF_ShortTenkan,Stop loss,($150.00),$4350.00,$0.00,$150.00,$0.00,$150.00,1,
16,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Short,1,23413.25,23379.50,8/22/2025 2:19:00 AM,8/22/2025 2:38:00 AM,LTF_ShortTenkan,Profit target,$675.00,$5025.00,$0.00,$45.00,$675.00,$0.00,20,
17,NQ DEC25,Backtest,FluxTrade_IchimokoStrat,Long,1,23789.50,23782.00,8/27/2025 9:33:00 AM,8/27/2025 9:33:00 AM,LTF_LongTenkan,Stop loss,($150.00),$4875.00,$0.00,$150.00,$0.00,$150.00,1,
